Name,Price,1h%,24h%,7d%,MarketCap,Volume(24h),Circulating Supply,Last 7 Days, Up/Down
1,Bitcoin,BTC,$23.298.79,0.33%,0.28%,7.04%,958.350 BTC,19.303.950 BTC,isDown
2,Ethereum,ETH,$1.623.83,0.17%,0.55%,4.77%,4.335.223 ETH,122.373.866 ETH,isDown
3,Tether,USDT,$1.00,0.01%,0.01%,0.00%,31.592.110.517 USDT,70.930.128.835 USDT,isDown
4,BNB,BNB,$302.58,0.13%,0.67%,4.45%,1.289.295 BNB,157.895.420 BNB,isDown
5,USD Coin,USDC,$0.9999,0.00%,0.00%,0.01%,3.328.664.125 USDC,42.517.705.230 USDC,isDown
6,XRP,XRP,$0.3739,0.46%,0.10%,6.85%,2.924.137.147 XRP,50.950.912.949 XRP,isDown
7,Cardano,ADA,$0.362,0.45%,0.09%,10.63%,661.343.265 ADA,34.665.909.137 ADA,isDown
8,Dogecoin,DOGE,$0.0814,0.61%,0.32%,7.88%,4.082.435.235 DOGE,132.670.764.300 DOGE,isDown
9,Polygon,MATIC,$1.22,0.45%,2.44%,17.09%,450.737.476 MATIC,8.734.317.475 MATIC,isDown
10,Binance USD,BUSD,$1.00,0.01%,0.04%,0.01%,5.887.186.502 BUSD,10.636.444.417 BUSD,isDown
